1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,1
1,1,1,1,1,1,1,,,,1,,,,1,1,1,,,,,,,,1,1,1
1,1,1,1,1,1,1,,13,,1,,20,,1,1,1,1,1,1,1,,,,1,1,1
1,1,1,1,1,1,1,,,,1,,,,1,1,1,1,1,1,1,,,,1,1,1
1,1,1,1,1,1,1,1,,1,1,1,23,1,1,1,1,1,1,1,1,,,,1,1,1
1,1,1,5,5,5,1,,,,1,,,,1,,,,1,1,1,,,,1,1,1
1,1,1,,,,,,25,,,,,,22,,13,,1,1,1,,,,1,1,1
1,1,1,,,,1,,,,1,,,,1,,,,1,1,1,,,,1,1,1
1,1,1,,,,1,1,21,1,1,1,22,1,1,,,,1,1,1,1,1,1,1,1,1
1,1,1,,10,,1,1,21,1,1,5,,5,1,,,,1,1,1,1,1,1,1,1,1
1,1,1,,,,1,1,21,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,21,21,1,,,,1,1,1,1,1,1,1,,,,1,1,1
1,1,1,,,5,1,1,21,21,21,,,,,23,,,5,,5,,16,,1,1,1
1,1,1,,2,5,,,21,21,21,,,,1,1,1,1,1,1,1,,,,1,1,1
1,1,1,,,5,1,1,1,21,21,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,21,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,,-1,,1,1,1,,,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,,,,,,,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
