1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,,,,1,4,,,,,,5,1,,,,,,,1,1,1
1,1,1,,2,,1,,1,1,,1,1,,1,,5,,,,,1,1,1
1,1,1,,,,1,,1,,,,1,,1,,,,,,,1,1,1
1,1,1,1,23,1,1,,,,10,,,,1,,,,,5,,1,1,1
1,1,1,,5,,1,,1,,,,1,,1,,,,,,,1,1,1
1,1,1,,,,1,,1,1,,1,1,,1,1,1,1,22,1,1,1,1,1
1,1,1,,,,1,5,,,,,,4,1,1,1,,,,1,1,1,1
1,1,1,,,,1,1,1,1,22,1,1,1,1,1,4,,,,5,1,1,1
1,1,1,,,,,,,,,,1,,,,,,,,,1,1,1
1,1,1,,,,,,,,,4,,,,,,,1,20,,1,1,1
1,1,1,,,,,,,,,,1,,,,,,14,,,1,1,1
1,1,1,,-1,,1,1,1,1,1,1,1,1,1,1,4,,,,5,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1
1,1,1,1,1,1,1,,,,,,,,,1,1,1,,1,1,1,1,1
1,1,1,,,,,,,,,,,,1,1,1,1,,1,1,1,1,1
1,1,1,,,,,,,,,,,,1,1,1,1,,1,1,1,1,1
1,1,1,,,,,,,,,,,,1,1,1,,,,1,1,1,1
1,1,1,,,,,,,,,,,,1,1,1,,25,,1,1,1,1
1,1,1,,,,,,,,,,,,1,1,1,,,,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
