1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,,11,,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1,1,1,1,1
1,1,1,,,,,1,,,3,,,1,,,,1,1,1,1
1,1,1,,20,,,1,,,18,,,1,,5,,1,1,1,1
1,1,1,,,,,1,,,,,,1,,,,1,1,1,1
1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,1
1,1,1,,,,,,,,,,,,,,,,1,1,1
1,1,1,4,,,,,,,,,,,,,,,1,1,1
1,1,1,,,,,,,,,,,,,,,,1,1,1
1,1,1,1,,1,1,1,1,,1,1,1,,1,1,22,1,1,1,1
1,1,1,,,,1,,,,,1,,,,1,,,1,1,1
1,1,1,,,,1,,,,,1,,,,1,2,,1,1,1
1,1,1,,-1,,1,,,,,1,,,,1,,,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
